episode,surge_threshold,discount_threshold,posted_revenue_gain_pct,net_revenue_gain_pct,customer_response_rate,pricing_efficiency,wait_time_reduction,baseline_wait_index,post_pricing_wait_index,price_exposure_rate,surge_pct,discount_pct,avg_multiplier
1,0.7,0.2,5.547181117526783,3.6881332699133753,98.33584566474195,0.3163285958512598,1.1140887912888338,0.3445822467963846,0.34074329460805486,79.30942184154176,0.0,18.629550321199144,1.0552467538080639
2,0.65,0.18,5.699605039099363,3.797835239118366,98.29011848827018,0.31681059144772156,1.4789948599506648,0.3445822467963846,0.33948589307796356,69.12473233404711,0.0,8.444860813704496,1.0566385364991193
3,0.6,0.16,5.818746935130846,3.884020421627761,98.25437591946071,0.3171889886312494,1.8439009286125119,0.3445822467963846,0.3382284915478722,69.12473233404711,0.0,8.444860813704496,1.057716781024036
4,0.575,0.14,5.983592657153411,4.0016611382543505,98.20492220285398,0.317708090812678,2.0263539629434195,0.3445822467963846,0.3375997907828266,76.96734475374733,9.548982869379016,6.7384903640256955,1.0593158850844382
5,0.575,0.12,6.096937876020638,4.082529658827232,98.1709186371938,0.31806526139420394,2.0263539629434195,0.3445822467963846,0.3375997907828266,73.92933618843684,9.548982869379016,3.7004817987152037,1.0603320354402397
6,0.575,0.1,6.109861268630507,4.091643963209428,98.16704161941084,0.3181056765470268,2.0263539629434195,0.3445822467963846,0.3375997907828266,73.92933618843684,9.548982869379016,1.6260706638115634,1.0604167608732893
7,0.575,0.1,6.109861268630507,4.091643963209428,98.16704161941084,0.3181056765470268,2.0263539629434195,0.3445822467963846,0.3375997907828266,73.92933618843684,9.548982869379016,1.6260706638115634,1.0604167608732893
8,0.575,0.1,6.109861268630507,4.091643963209428,98.16704161941084,0.3181056765470268,2.0263539629434195,0.3445822467963846,0.3375997907828266,73.92933618843684,9.548982869379016,1.6260706638115634,1.0604167608732893
9,0.575,0.1,6.109861268630507,4.091643963209428,98.16704161941084,0.3181056765470268,2.0263539629434195,0.3445822467963846,0.3375997907828266,73.92933618843684,9.548982869379016,1.6260706638115634,1.0604167608732893
10,0.575,0.1,6.109861268630507,4.091643963209428,98.16704161941084,0.3181056765470268,2.0263539629434195,0.3445822467963846,0.3375997907828266,73.92933618843684,9.548982869379016,1.6260706638115634,1.0604167608732893
